Time of Record (Adjusted to Time Zone),,How are you feeling?,"In the last 10 min, what kind of activity were you doing?",I was doing this activity because,Morning/Evening Person,Activity type,Part of day
4/29/20 10:30,,Amazing,"b3: Collaboration (e.g. meeting, appointment)",I want to,Morning,Bi-Directional,Morning
4/29/20 10:31,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Morning,Bi-Directional,Morning
4/29/20 10:31,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,,Bi-Directional,Morning
4/29/20 10:52,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Morning
4/29/20 10:57,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Morning
4/29/20 11:00,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Morning
4/29/20 11:24,,Ok,i4: Exercise,I want to,Morning,Inflow,Morning
4/29/20 11:30,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Morning
4/29/20 11:36,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Morning
4/29/20 11:45,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/29/20 11:45,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Morning
4/29/20 11:53,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Morning
4/29/20 12:00,,Amazing,i4: Exercise,I want to and have to,Morning,Inflow,Afternoon
4/29/20 12:01,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Afternoon
4/29/20 12:06,,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/29/20 12:15,,Awful,"b1: Communication - Virtual, Collaborative (e.g. emailing)",of something else; I neither want to nor have to,Morning,Bi-Directional,Afternoon
4/29/20 12:15,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
4/29/20 12:20,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/29/20 12:27,,Amazing,"b8: Romantic (e.g., date)",I want to,,Bi-Directional,Afternoon
4/29/20 12:29,,Ok,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/29/20 12:31,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Afternoon
4/29/20 12:34,,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
4/29/20 12:45,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Afternoon
4/29/20 12:48,,Good,"b9: Socializing (e.g., partying, meal)",I want to and have to,Evening,Bi-Directional,Afternoon
4/29/20 13:02,,Bad,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,Evening,Bi-Directional,Afternoon
4/29/20 13:02,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/29/20 13:23,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to and have to,Evening,Inflow,Afternoon
4/29/20 13:33,,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Morning,Inflow,Afternoon
4/29/20 13:39,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Afternoon
4/29/20 13:45,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/29/20 13:46,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I have to,,Inflow,Afternoon
4/29/20 13:49,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Afternoon
4/29/20 13:58,,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/29/20 14:00,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Afternoon
4/29/20 14:00,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Morning,Inflow,Afternoon
4/29/20 14:02,,Good,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,Evening,Bi-Directional,Afternoon
4/29/20 14:03,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Afternoon
4/29/20 14:13,,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,,Inflow,Afternoon
4/29/20 14:20,,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Morning,Bi-Directional,Afternoon
4/29/20 14:30,,Good,"i9: Self-care (e.g. grooming, pooping)",I have to,Evening,Inflow,Afternoon
4/29/20 14:30,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/29/20 14:30,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/29/20 14:35,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/29/20 14:37,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
4/29/20 14:45,,Bad,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
4/29/20 15:30,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
4/29/20 15:30,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/29/20 15:32,,Bad,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/29/20 15:40,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/29/20 15:40,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Morning,Inflow,Afternoon
4/29/20 15:42,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Morning,Bi-Directional,Afternoon
4/29/20 15:45,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Morning,Bi-Directional,Afternoon
4/29/20 15:45,,Good,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Afternoon
4/29/20 15:46,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Afternoon
4/29/20 15:47,,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Morning,Bi-Directional,Afternoon
4/29/20 15:53,,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/29/20 16:00,,Good,"b9: Socializing (e.g., partying, meal)",I want to and have to,Morning,Bi-Directional,Afternoon
4/29/20 16:14,,Good,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Afternoon
4/29/20 16:14,,Good,"i7: Observation (e.g. strolling, birdwatching)",I want to and have to,Morning,Inflow,Afternoon
4/29/20 16:14,,Good,b4: Creative (e.g. painting),I want to and have to,Morning,Bi-Directional,Afternoon
4/29/20 16:16,,Good,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/29/20 16:17,,Amazing,"b10: Spiritual (e.g., meditating, praying)",I want to,Evening,Bi-Directional,Afternoon
4/29/20 16:19,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Morning,Inflow,Afternoon
4/29/20 16:22,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/29/20 16:22,,Good,i4: Exercise,I want to,,Inflow,Afternoon
4/29/20 16:30,,Good,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,,Inflow,Afternoon
4/29/20 16:31,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/29/20 16:33,,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/29/20 16:36,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Afternoon
4/29/20 16:55,,Good,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/29/20 17:00,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
4/29/20 17:01,,Good,i4: Exercise,I want to,Morning,Inflow,Evening
4/29/20 17:07,,Bad,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Evening
4/29/20 17:13,,Bad,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Morning,Inflow,Evening
4/29/20 17:18,,Good,b4: Creative (e.g. painting),I want to and have to,Morning,Bi-Directional,Evening
4/29/20 17:20,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Evening
4/29/20 17:22,,Ok,"b7: Manual work (e.g., housework)",I want to and have to,,Bi-Directional,Evening
4/29/20 17:30,,Good,i3: Eating and drinking,I want to,,Inflow,Evening
4/29/20 17:34,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/29/20 17:46,,Bad,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Evening
4/29/20 17:50,,Good,"b7: Manual work (e.g., housework)",I want to,Morning,Bi-Directional,Evening
4/29/20 18:00,,Good,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/29/20 18:02,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to,Morning,Inflow,Evening
4/29/20 18:04,,Bad,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Evening
4/29/20 18:05,,Ok,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Evening
4/29/20 18:17,,Ok,"b7: Manual work (e.g., housework)",I have to,Morning,Bi-Directional,Evening
4/29/20 18:25,,Amazing,"b7: Manual work (e.g., housework)",I want to and have to,Evening,Bi-Directional,Evening
4/29/20 18:30,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Evening
4/29/20 18:30,,Ok,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Evening
4/29/20 18:37,,Amazing,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/29/20 18:44,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/29/20 18:46,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Evening
4/29/20 18:46,,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/29/20 19:00,,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/29/20 19:00,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/29/20 19:00,,Good,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Evening
4/29/20 19:04,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Evening
4/29/20 19:15,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Evening,Bi-Directional,Evening
4/29/20 19:15,,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Evening
4/29/20 19:15,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Evening
4/29/20 19:19,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Morning,Inflow,Evening
4/29/20 19:23,,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Evening
4/29/20 19:30,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Evening
4/29/20 19:30,,Bad,"i1: Consuming art (e.g. movie, museum)",I want to and have to,Evening,Inflow,Evening
4/29/20 19:31,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Evening
4/29/20 19:38,,Good,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/29/20 19:41,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Evening
4/29/20 19:53,,Awful,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Evening
4/29/20 20:00,,Amazing,i3: Eating and drinking,I want to,Evening,Inflow,Evening
4/29/20 20:02,,Good,"b5: Intellectual (e.g. writing, coding)",I want to,Evening,Bi-Directional,Evening
4/29/20 20:02,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
4/29/20 20:15,,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/29/20 20:25,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Evening
4/29/20 20:34,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/29/20 20:45,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Evening
4/29/20 20:53,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/29/20 20:56,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Morning,Inflow,Evening
4/29/20 21:09,,Good,"i1: Consuming art (e.g. movie, museum)",I want to and have to,Evening,Inflow,Night
4/29/20 21:15,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Night
4/29/20 21:15,,Ok,"i9: Self-care (e.g. grooming, pooping)",of something else; I neither want to nor have to,,Inflow,Night
4/29/20 21:15,,Good,"b5: Intellectual (e.g. writing, coding)",I want to,Evening,Bi-Directional,Night
4/29/20 21:15,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
4/29/20 21:21,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Night
4/29/20 21:22,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/29/20 21:48,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Night
4/29/20 21:51,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Night
4/29/20 21:58,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
4/29/20 22:00,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/29/20 22:12,,Good,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Night
4/29/20 22:15,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Night
4/29/20 22:23,,Ok,"i9: Self-care (e.g. grooming, pooping)",I have to,Evening,Inflow,Night
4/29/20 22:47,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
4/29/20 22:52,,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Night
4/30/20 0:08,,Ok,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Evening,Inflow,Night
4/30/20 0:10,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Night
4/30/20 0:55,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/30/20 5:15,,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Morning
4/30/20 6:15,,Good,"i9: Self-care (e.g. grooming, pooping)",I have to,,Inflow,Morning
4/30/20 6:17,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Morning
4/30/20 6:27,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Morning,Bi-Directional,Morning
4/30/20 7:00,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Morning,Inflow,Morning
4/30/20 7:03,,Amazing,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/30/20 7:05,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
4/30/20 7:07,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Morning
4/30/20 7:07,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/30/20 7:08,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Morning
4/30/20 7:10,,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Morning
4/30/20 7:15,,Bad,"b6: Logistical (e.g. planning, commuting, errands)",I want to,Morning,Bi-Directional,Morning
4/30/20 7:24,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Morning,Inflow,Morning
4/30/20 8:00,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/30/20 8:00,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Morning
4/30/20 8:00,,Bad,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,Evening,Inflow,Morning
4/30/20 8:21,,Good,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Morning
4/30/20 8:42,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/30/20 8:45,,Amazing,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Morning
4/30/20 8:47,,Bad,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Morning,Bi-Directional,Morning
4/30/20 8:47,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Morning
4/30/20 9:00,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Evening,Inflow,Morning
4/30/20 9:07,,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Morning
4/30/20 9:08,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Morning
4/30/20 9:27,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Morning
4/30/20 10:00,,Ok,"i7: Observation (e.g. strolling, birdwatching)",I want to,Evening,Inflow,Morning
4/30/20 10:01,,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Morning
4/30/20 10:06,,Ok,i3: Eating and drinking,I want to,Evening,Inflow,Morning
4/30/20 10:19,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Morning
4/30/20 10:23,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Morning
4/30/20 10:30,,Good,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Morning
4/30/20 10:30,,Good,i3: Eating and drinking,I want to,,Inflow,Morning
4/30/20 10:45,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Morning
4/30/20 10:46,,Bad,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,Evening,Inflow,Morning
4/30/20 10:48,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Morning
4/30/20 10:59,,Good,"b3: Collaboration (e.g. meeting, appointment)",I want to,Evening,Bi-Directional,Morning
4/30/20 11:00,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/30/20 11:00,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Morning
4/30/20 11:07,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Morning
4/30/20 11:11,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Morning
4/30/20 11:30,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Morning
4/30/20 11:41,,Amazing,i10: Inflow - Other,I want to,,Inflow,Morning
4/30/20 11:45,,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Morning
4/30/20 11:46,,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Morning
4/30/20 12:00,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Afternoon
4/30/20 12:15,,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
4/30/20 12:16,,Good,"b3: Collaboration (e.g. meeting, appointment)",I have to,Morning,Bi-Directional,Afternoon
4/30/20 12:17,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 12:19,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
4/30/20 12:23,,Good,"i7: Observation (e.g. strolling, birdwatching)",I want to,Evening,Inflow,Afternoon
4/30/20 12:26,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Afternoon
4/30/20 12:26,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,,Bi-Directional,Afternoon
4/30/20 12:35,,Good,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/30/20 12:42,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/30/20 12:45,,Good,b4: Creative (e.g. painting),I want to and have to,Evening,Bi-Directional,Afternoon
4/30/20 12:45,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
4/30/20 12:54,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/30/20 13:00,,Good,i4: Exercise,I have to,Evening,Inflow,Afternoon
4/30/20 13:00,,Ok,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/30/20 13:00,,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Evening,Bi-Directional,Afternoon
4/30/20 13:22,,Good,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Afternoon
4/30/20 13:45,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Afternoon
4/30/20 13:45,,Bad,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/30/20 13:45,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Afternoon
4/30/20 13:46,,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
4/30/20 14:00,,Good,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Afternoon
4/30/20 14:00,,Ok,"i7: Observation (e.g. strolling, birdwatching)",I want to,Evening,Inflow,Afternoon
4/30/20 14:00,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Afternoon
4/30/20 14:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Evening,Inflow,Afternoon
4/30/20 14:01,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 14:04,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Afternoon
4/30/20 14:05,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Afternoon
4/30/20 14:11,,Bad,"b6: Logistical (e.g. planning, commuting, errands)",of something else; I neither want to nor have to,Morning,Bi-Directional,Afternoon
4/30/20 14:15,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/30/20 14:19,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Afternoon
4/30/20 14:25,,Good,"i7: Observation (e.g. strolling, birdwatching)",I want to,Evening,Inflow,Afternoon
4/30/20 14:35,,Good,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/30/20 14:43,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Morning,Bi-Directional,Afternoon
4/30/20 14:45,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,,Bi-Directional,Afternoon
4/30/20 14:45,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Afternoon
4/30/20 14:53,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/30/20 15:00,,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Afternoon
4/30/20 15:00,,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Afternoon
4/30/20 15:02,,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/30/20 15:04,,Ok,b11: Bi-directional - Other,I have to,Evening,Bi-Directional,Afternoon
4/30/20 15:06,,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Afternoon
4/30/20 15:12,,Ok,i10: Inflow - Other,of something else; I neither want to nor have to,Evening,Inflow,Afternoon
4/30/20 15:14,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/30/20 15:15,,Good,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/30/20 15:15,,Good,"i9: Self-care (e.g. grooming, pooping)",I have to,Morning,Inflow,Afternoon
4/30/20 15:15,,Amazing,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
4/30/20 15:16,,Good,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Afternoon
4/30/20 15:16,,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Morning,Bi-Directional,Afternoon
4/30/20 15:30,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/30/20 15:30,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Afternoon
4/30/20 15:36,,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 15:37,,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Afternoon
4/30/20 15:51,,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
4/30/20 15:52,,Good,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Afternoon
4/30/20 15:58,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Morning,Bi-Directional,Afternoon
4/30/20 16:00,,Ok,i10: Inflow - Other,of something else; I neither want to nor have to,Evening,Inflow,Afternoon
4/30/20 16:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Afternoon
4/30/20 16:00,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/30/20 16:01,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Afternoon
4/30/20 16:07,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 16:25,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 16:30,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 16:30,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
4/30/20 16:31,,Bad,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 17:00,,Good,"b9: Socializing (e.g., partying, meal)",I want to and have to,Morning,Bi-Directional,Evening
4/30/20 17:00,,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Evening
4/30/20 17:30,,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/30/20 17:30,,Amazing,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Evening
4/30/20 17:31,,Good,i3: Eating and drinking,I want to,,Inflow,Evening
4/30/20 17:33,,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Evening
4/30/20 17:38,,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Morning,Inflow,Evening
4/30/20 17:45,,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Evening
4/30/20 17:50,,Good,i3: Eating and drinking,of something else; I neither want to nor have to,Morning,Inflow,Evening
