Time of Record (Adjusted to Time Zone),Email,How are you feeling?,"In the last 10 min, what kind of activity were you doing?",I was doing this activity because,Morning/Evening Person,Activity type,Part of day
4/30/20 11:07 AM,0.21399290811170335,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Morning
4/30/20 11:11 AM,0.7458435954362609,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Morning
4/30/20 11:30 AM,0.6593225488258994,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Morning
4/30/20 11:41 AM,0.5059725210736187,Amazing,i10: Inflow - Other,I want to,,Inflow,Morning
4/30/20 11:45 AM,0.2620106905400832,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Morning
4/30/20 11:46 AM,0.8428097364292039,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Morning
4/30/20 12:00 PM,0.07166431874897428,Good,i3: Eating and drinking,I want to,Evening,Inflow,Afternoon
4/30/20 12:15 PM,0.41432378521528046,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
4/30/20 12:16 PM,0.7067347814443499,Good,"b3: Collaboration (e.g. meeting, appointment)",I have to,Morning,Bi-Directional,Afternoon
4/30/20 12:17 PM,0.7731708725449643,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 12:19 PM,0.5230119531266414,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
4/30/20 12:23 PM,0.053546897334000865,Good,"i7: Observation (e.g. strolling, birdwatching)",I want to,Evening,Inflow,Afternoon
4/30/20 12:26 PM,0.056777490296152755,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Afternoon
4/30/20 12:26 PM,0.056777490296152755,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,,Bi-Directional,Afternoon
4/30/20 12:35 PM,0.2386110987670348,Good,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/30/20 12:42 PM,0.08750354953947204,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/30/20 12:45 PM,0.011015262917951851,Good,b4: Creative (e.g. painting),I want to and have to,Evening,Bi-Directional,Afternoon
4/30/20 12:45 PM,0.4679025128092601,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
4/30/20 12:54 PM,0.003906290489614772,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/30/20 1:00 PM,0.25970807074888325,Good,i4: Exercise,I have to,Evening,Inflow,Afternoon
4/30/20 1:00 PM,0.5059725210736187,Ok,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/30/20 1:00 PM,0.21399290811170335,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Evening,Bi-Directional,Afternoon
4/30/20 1:22 PM,0.2386110987670348,Good,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Afternoon
4/30/20 1:45 PM,0.04207113480625202,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Afternoon
4/30/20 1:45 PM,0.2620106905400832,Bad,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/30/20 1:45 PM,0.6478801025509782,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Afternoon
4/30/20 1:46 PM,0.8428097364292039,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
4/30/20 2:00 PM,0.7259792119135012,Good,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Afternoon
4/30/20 2:00 PM,0.053546897334000865,Ok,"i7: Observation (e.g. strolling, birdwatching)",I want to,Evening,Inflow,Afternoon
4/30/20 2:00 PM,0.6737788102981581,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Afternoon
4/30/20 2:00 PM,0.29391579396123757,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Evening,Inflow,Afternoon
4/30/20 2:01 PM,0.7731708725449643,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 2:04 PM,0.306266188362607,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Afternoon
4/30/20 2:05 PM,0.21399290811170335,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Afternoon
4/30/20 2:11 PM,0.7067347814443499,Bad,"b6: Logistical (e.g. planning, commuting, errands)",of something else; I neither want to nor have to,Morning,Bi-Directional,Afternoon
4/30/20 2:15 PM,0.11474372029382096,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/30/20 2:19 PM,0.6737788102981581,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Afternoon
4/30/20 2:25 PM,0.7219458495767971,Good,"i7: Observation (e.g. strolling, birdwatching)",I want to,Evening,Inflow,Afternoon
4/30/20 2:35 PM,0.7154627748693038,Good,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/30/20 2:43 PM,0.410892172765857,Ok,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Morning,Bi-Directional,Afternoon
4/30/20 2:45 PM,0.056777490296152755,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,,Bi-Directional,Afternoon
4/30/20 2:45 PM,0.056777490296152755,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Afternoon
4/30/20 2:53 PM,0.1891973955850632,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/30/20 3:00 PM,0.2972751661913613,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Afternoon
4/30/20 3:00 PM,0.2386110987670348,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Afternoon
4/30/20 3:02 PM,0.8695821654152704,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/30/20 3:04 PM,0.6593225488258994,Ok,b11: Bi-directional - Other,I have to,Evening,Bi-Directional,Afternoon
4/30/20 3:06 PM,0.21399290811170335,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Afternoon
4/30/20 3:12 PM,0.7219458495767971,Ok,i10: Inflow - Other,of something else; I neither want to nor have to,Evening,Inflow,Afternoon
4/30/20 3:14 PM,0.7458435954362609,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/30/20 3:15 PM,0.8046453647887467,Good,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/30/20 3:15 PM,0.5845256232710224,Good,"i9: Self-care (e.g. grooming, pooping)",I have to,Morning,Inflow,Afternoon
4/30/20 3:15 PM,0.8046453647887467,Amazing,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
4/30/20 3:16 PM,0.8046453647887467,Good,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Afternoon
4/30/20 3:16 PM,0.8046453647887467,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Morning,Bi-Directional,Afternoon
4/30/20 3:30 PM,0.003906290489614772,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/30/20 3:30 PM,0.5230119531266414,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Afternoon
4/30/20 3:36 PM,0.08750354953947204,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 3:37 PM,0.8428097364292039,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Afternoon
4/30/20 3:51 PM,0.306266188362607,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
4/30/20 3:52 PM,0.7067347814443499,Good,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Afternoon
4/30/20 3:58 PM,0.41432378521528046,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Morning,Bi-Directional,Afternoon
4/30/20 4:00 PM,0.7219458495767971,Ok,i10: Inflow - Other,of something else; I neither want to nor have to,Evening,Inflow,Afternoon
4/30/20 4:00 PM,0.056777490296152755,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Afternoon
4/30/20 4:00 PM,0.053546897334000865,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/30/20 4:01 PM,0.056777490296152755,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Afternoon
4/30/20 4:07 PM,0.2092499418422893,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 4:25 PM,0.7731708725449643,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 4:30 PM,0.003906290489614772,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 4:30 PM,0.1891973955850632,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
4/30/20 4:31 PM,0.33879887216117854,Bad,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Afternoon
4/30/20 5:00 PM,0.2972751661913613,Good,"b9: Socializing (e.g., partying, meal)",I want to and have to,Morning,Bi-Directional,Evening
4/30/20 5:00 PM,0.21399290811170335,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Evening
4/30/20 5:30 PM,0.003906290489614772,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/30/20 5:30 PM,0.7067347814443499,Amazing,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Evening
4/30/20 5:31 PM,0.7259792119135012,Good,i3: Eating and drinking,I want to,,Inflow,Evening
4/30/20 5:33 PM,0.0732407481040791,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Evening
4/30/20 5:38 PM,0.8428097364292039,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Morning,Inflow,Evening
4/30/20 5:45 PM,0.6737788102981581,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Evening
4/30/20 5:50 PM,0.5845256232710224,Good,i3: Eating and drinking,of something else; I neither want to nor have to,Morning,Inflow,Evening
4/30/20 5:50 PM,0.08750354953947204,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Evening
4/30/20 5:54 PM,0.306266188362607,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Evening
4/30/20 5:58 PM,0.41432378521528046,Good,i4: Exercise,I want to,Morning,Inflow,Evening
4/30/20 6:03 PM,0.053546897334000865,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Evening
4/30/20 6:05 PM,0.29391579396123757,Good,i4: Exercise,I want to,Evening,Inflow,Evening
4/30/20 6:30 PM,0.003906290489614772,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/30/20 6:32 PM,0.07166431874897428,Good,"b5: Intellectual (e.g. writing, coding)",I want to,Evening,Bi-Directional,Evening
4/30/20 6:43 PM,0.2620106905400832,Good,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Evening
4/30/20 6:49 PM,0.08750354953947204,Bad,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Evening,Bi-Directional,Evening
4/30/20 7:00 PM,0.21399290811170335,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/30/20 7:03 PM,0.10852475809758189,Good,"b7: Manual work (e.g., housework)",I want to,Morning,Bi-Directional,Evening
4/30/20 7:15 PM,0.7067347814443499,Good,i3: Eating and drinking,I want to,Morning,Inflow,Evening
4/30/20 7:18 PM,0.21399290811170335,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/30/20 7:21 PM,0.41432378521528046,Good,i4: Exercise,I want to,Morning,Inflow,Evening
4/30/20 7:21 PM,0.8428097364292039,Ok,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Evening
4/30/20 8:02 PM,0.053546897334000865,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Evening
4/30/20 8:06 PM,0.306266188362607,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Evening
4/30/20 8:06 PM,0.2972751661913613,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Evening
4/30/20 8:10 PM,0.21399290811170335,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Evening
4/30/20 8:11 PM,0.21399290811170335,Good,"b7: Manual work (e.g., housework)",I want to and have to,Evening,Bi-Directional,Evening
4/30/20 8:25 PM,0.8046453647887467,Good,"b9: Socializing (e.g., partying, meal)",I want to and have to,Morning,Bi-Directional,Evening
4/30/20 8:25 PM,0.8046453647887467,Good,"i7: Observation (e.g. strolling, birdwatching)",I want to,Morning,Inflow,Evening
4/30/20 8:25 PM,0.8046453647887467,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,Morning,Inflow,Evening
4/30/20 8:31 PM,0.41432378521528046,Amazing,i3: Eating and drinking,I want to and have to,Morning,Inflow,Evening
4/30/20 8:46 PM,0.08750354953947204,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/30/20 8:51 PM,0.7154627748693038,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Evening
4/30/20 9:00 PM,0.7219458495767971,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Night
4/30/20 9:15 PM,0.003906290489614772,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Night
4/30/20 9:15 PM,0.2620106905400832,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
4/30/20 9:16 PM,0.5059725210736187,Good,b11: Bi-directional - Other,of something else; I neither want to nor have to,,Bi-Directional,Night
4/30/20 9:30 PM,0.8428097364292039,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Night
4/30/20 9:33 PM,0.7731708725449643,Good,i3: Eating and drinking,I want to,Evening,Inflow,Night
4/30/20 9:49 PM,0.306266188362607,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/30/20 10:00 PM,0.21399290811170335,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
4/30/20 10:11 PM,0.7731708725449643,Ok,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Evening,Inflow,Night
4/30/20 10:12 PM,0.053546897334000865,Amazing,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Night
4/30/20 10:15 PM,0.003906290489614772,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
4/30/20 10:33 PM,0.1891973955850632,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/30/20 11:28 PM,0.5059725210736187,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Night
4/30/20 11:53 PM,0.1891973955850632,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Night
5/1/20 12:04 AM,0.7731708725449643,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Night
5/1/20 1:49 AM,0.11474372029382096,Awful,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,,Bi-Directional,Night
5/1/20 5:28 AM,0.056777490296152755,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Morning
5/1/20 6:00 AM,0.5845256232710224,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Morning,Inflow,Morning
5/1/20 6:00 AM,0.056777490296152755,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Morning
5/1/20 7:00 AM,0.8695821654152704,Good,"i9: Self-care (e.g. grooming, pooping)",I have to,Evening,Inflow,Morning
5/1/20 7:03 AM,0.410892172765857,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
5/1/20 7:07 AM,0.7154627748693038,Good,i3: Eating and drinking,I want to,Morning,Inflow,Morning
5/1/20 7:08 AM,0.08750354953947204,Bad,"i9: Self-care (e.g. grooming, pooping)",I have to,Evening,Inflow,Morning
5/1/20 7:12 AM,0.41432378521528046,Amazing,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Morning,Inflow,Morning
5/1/20 7:53 AM,0.41432378521528046,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Morning
5/1/20 8:03 AM,0.1891973955850632,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
5/1/20 8:30 AM,0.6593225488258994,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Morning
5/1/20 8:39 AM,0.08750354953947204,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Morning
5/1/20 9:00 AM,0.7259792119135012,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to,,Inflow,Morning
5/1/20 9:01 AM,0.7154627748693038,Good,i3: Eating and drinking,I want to,Morning,Inflow,Morning
5/1/20 9:06 AM,0.2092499418422893,Ok,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Evening,Bi-Directional,Morning
5/1/20 9:08 AM,0.21399290811170335,Ok,"b10: Spiritual (e.g., meditating, praying)",I want to,Evening,Bi-Directional,Morning
5/1/20 9:08 AM,0.21399290811170335,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
5/1/20 9:11 AM,0.2620106905400832,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
5/1/20 9:28 AM,0.053546897334000865,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Morning
5/1/20 9:31 AM,0.4679025128092601,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,,Bi-Directional,Morning
5/1/20 9:41 AM,0.0732407481040791,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",of something else; I neither want to nor have to,Morning,Bi-Directional,Morning
5/1/20 9:44 AM,0.7458435954362609,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Morning
5/1/20 9:54 AM,0.7067347814443499,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,Morning,Inflow,Morning
5/1/20 9:58 AM,0.5845256232710224,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Morning
5/1/20 10:00 AM,0.003906290489614772,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
5/1/20 10:00 AM,0.2620106905400832,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Morning
5/1/20 10:01 AM,0.07166431874897428,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Morning
5/1/20 10:01 AM,0.2092499418422893,Good,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Evening,Bi-Directional,Morning
5/1/20 10:02 AM,0.08750354953947204,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
5/1/20 10:05 AM,0.056777490296152755,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Morning
5/1/20 10:15 AM,0.1891973955850632,Good,"b10: Spiritual (e.g., meditating, praying)",I want to,Evening,Bi-Directional,Morning
5/1/20 10:16 AM,0.7731708725449643,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Morning
5/1/20 10:17 AM,0.053546897334000865,Ok,"i7: Observation (e.g. strolling, birdwatching)",I want to,Evening,Inflow,Morning
5/1/20 10:27 AM,0.8428097364292039,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Morning
5/1/20 10:33 AM,0.056777490296152755,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Morning
5/1/20 10:45 AM,0.7067347814443499,Amazing,"b3: Collaboration (e.g. meeting, appointment)",I want to,Morning,Bi-Directional,Morning
5/1/20 10:52 AM,0.7259792119135012,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Morning
5/1/20 11:00 AM,0.003906290489614772,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Morning
5/1/20 11:05 AM,0.7458435954362609,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Morning
5/1/20 11:07 AM,0.0732407481040791,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
5/1/20 11:41 AM,0.5845256232710224,Good,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Morning
5/1/20 11:47 AM,0.0732407481040791,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",of something else; I neither want to nor have to,Morning,Bi-Directional,Morning
5/1/20 11:58 AM,0.306266188362607,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
5/1/20 11:59 AM,0.21399290811170335,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Morning
5/1/20 12:01 PM,0.2620106905400832,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Evening,Inflow,Afternoon
5/1/20 12:01 PM,0.7731708725449643,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
5/1/20 12:03 PM,0.6593225488258994,Good,i4: Exercise,I want to and have to,Evening,Inflow,Afternoon
5/1/20 12:07 PM,0.8428097364292039,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Morning,Bi-Directional,Afternoon
5/1/20 12:16 PM,0.29391579396123757,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Afternoon
5/1/20 12:20 PM,0.053546897334000865,Good,"b7: Manual work (e.g., housework)",I have to,Evening,Bi-Directional,Afternoon
5/1/20 12:22 PM,0.08750354953947204,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
5/1/20 12:25 PM,0.5230119531266414,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Afternoon
5/1/20 12:34 PM,0.41432378521528046,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
5/1/20 12:45 PM,0.11474372029382096,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Afternoon
5/1/20 12:45 PM,0.4679025128092601,Ok,"i5: Fun (e.g. drinking, games)",of something else; I neither want to nor have to,,Inflow,Afternoon
5/1/20 1:17 PM,0.410892172765857,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
5/1/20 1:18 PM,0.306266188362607,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
5/1/20 1:21 PM,0.21399290811170335,Ok,"b9: Socializing (e.g., partying, meal)",of something else; I neither want to nor have to,Evening,Bi-Directional,Afternoon
5/1/20 1:30 PM,0.5845256232710224,Ok,b4: Creative (e.g. painting),I want to and have to,Morning,Bi-Directional,Afternoon
5/1/20 1:37 PM,0.33879887216117854,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
5/1/20 1:45 PM,0.003906290489614772,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
5/1/20 1:48 PM,0.8428097364292039,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Afternoon
5/1/20 1:59 PM,0.7154627748693038,Good,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,Morning,Bi-Directional,Afternoon
5/1/20 2:00 PM,0.0732407481040791,Bad,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
5/1/20 2:16 PM,0.7731708725449643,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
5/1/20 2:27 PM,0.21399290811170335,Ok,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Evening,Inflow,Afternoon
5/1/20 2:39 PM,0.053546897334000865,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Afternoon
5/1/20 2:40 PM,0.7259792119135012,Ok,i4: Exercise,I want to and have to,,Inflow,Afternoon
5/1/20 2:40 PM,0.29391579396123757,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
5/1/20 2:52 PM,0.1891973955850632,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
5/1/20 3:01 PM,0.7154627748693038,Ok,"b5: Intellectual (e.g. writing, coding)",I want to,Morning,Bi-Directional,Afternoon
5/1/20 3:04 PM,0.7458435954362609,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Afternoon
5/1/20 3:24 PM,0.056777490296152755,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
5/1/20 3:24 PM,0.056777490296152755,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,,Bi-Directional,Afternoon
5/1/20 3:30 PM,0.5230119531266414,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
5/1/20 3:36 PM,0.8428097364292039,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
5/1/20 3:37 PM,0.5845256232710224,Good,b4: Creative (e.g. painting),I want to and have to,Morning,Bi-Directional,Afternoon
5/1/20 3:45 PM,0.2972751661913613,Good,"b9: Socializing (e.g., partying, meal)",I want to and have to,Morning,Bi-Directional,Afternoon
5/1/20 3:47 PM,0.41432378521528046,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Morning,Bi-Directional,Afternoon
5/1/20 4:00 PM,0.21399290811170335,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Evening,Bi-Directional,Afternoon
5/1/20 4:20 PM,0.0732407481040791,Ok,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Morning,Inflow,Afternoon
5/1/20 4:30 PM,0.7259792119135012,Good,i3: Eating and drinking,I want to,,Inflow,Afternoon
5/1/20 4:30 PM,0.7067347814443499,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Afternoon
5/1/20 4:30 PM,0.3876441835000579,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Afternoon
5/1/20 4:30 PM,0.053546897334000865,Good,"b10: Spiritual (e.g., meditating, praying)",I want to,Evening,Bi-Directional,Afternoon
5/1/20 4:31 PM,0.003906290489614772,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
5/1/20 4:39 PM,0.306266188362607,Good,"i7: Observation (e.g. strolling, birdwatching)",I want to,Evening,Inflow,Afternoon
